code,name,rawName,canonicalName,methodText,unit,sourceType
IP-0368,液限,液限,液限,见对应标准条款,,official
IP-0369,塑限,塑限,塑限,见对应标准条款,,official
IP-0370,击实,击实,击实,见对应标准条款,,official
IP-0371,粗粒土和巨粒土最大干密度,粗粒土和巨粒土最大干密度,粗粒土和巨粒土最大干密度,见对应标准条款,,official
IP-0372,承载比（CBR）试验,承载比（CBR）试验,承载比（CBR）试验,见对应标准条款,,official
IP-0373,无侧限抗压强度,无侧限抗压强度,无侧限抗压强度,见对应标准条款,,official
IP-0374,水泥或石灰剂量,水泥或石灰剂量,水泥或石灰剂量,见对应标准条款,,official
IP-0375,塑性指数,塑性指数,塑性指数,见对应标准条款,,official
IP-0376,不均匀系数,不均匀系数,不均匀系数,见对应标准条款,,official
IP-0377,0.6mm 以下颗粒含量,0.6mm 以下颗粒含量,0.6mm 以下颗粒含量,见对应标准条款,,official
IP-0378,颗粒分析,颗粒分析,颗粒分析,见对应标准条款,,official
IP-0379,有机质含量,有机质含量,有机质含量,见对应标准条款,,official
IP-0380,易溶盐含量,易溶盐含量,易溶盐含量,见对应标准条款,,official
IP-0381,拉伸粘接强度（抹灰、砌筑）,拉伸粘接强度（抹灰、砌筑）,拉伸粘接强度（抹灰、砌筑）,见对应标准条款,,official
IP-0382,剥离性能胶粘带：剪切性能,剥离性能胶粘带：剪切性能,剥离性能胶粘带：剪切性能,见对应标准条款,,official
IP-0383,剥离性能防水卷材：接缝剥离强度,剥离性能防水卷材：接缝剥离强度,剥离性能防水卷材：接缝剥离强度,见对应标准条款,,official
IP-0384,硫酸根离子含量,硫酸根离子含量,硫酸根离子含量,见对应标准条款,,official
IP-0385,不溶物含量,不溶物含量,不溶物含量,见对应标准条款,,official
IP-0386,凝结时间差,凝结时间差,凝结时间差,见对应标准条款,,official
IP-0387,有效氧化钙和氧化镁含量,有效氧化钙和氧化镁含量,有效氧化钙和氧化镁含量,见对应标准条款,,official
IP-0388,未消化残渣含量,未消化残渣含量,未消化残渣含量,见对应标准条款,,official
IP-0389,干燥压缩强度,干燥压缩强度,干燥压缩强度,见对应标准条款,,official
IP-0390,水饱和压缩强度,水饱和压缩强度,水饱和压缩强度,见对应标准条款,,official
IP-0391,干燥弯曲强度,干燥弯曲强度,干燥弯曲强度,见对应标准条款,,official
IP-0392,水饱和弯曲强度,水饱和弯曲强度,水饱和弯曲强度,见对应标准条款,,official
IP-0393,体积密度,体积密度,体积密度,见对应标准条款,,official
